ID_MUNICIPIO,PARTIDO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
3163508,DEM,1.0,0.0,0.0,0.968,0.032,0.0
3163706,PTB,0.983,0.017,0.0,0.99,0.01,0.0
3164431,PSDB,1.0,0.0,0.0,0.975,0.025,0.0
3164472,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3164605,PDT,1.0,0.0,0.0,0.971,0.029,0.0
3164704,PSC,0.982,0.018,0.0,1.0,0.0,0.0
3164902,PV,1.0,0.0,0.0,0.906,0.063,0.031
3165404,PP,0.973,0.027,0.0,1.0,0.0,0.0
3165503,MDB,0.983,0.017,0.0,1.0,0.0,0.0
3165552,PMN,1.0,0.0,0.0,1.0,0.0,0.0
3165578,MDB,1.0,0.0,0.0,0.821,0.026,0.153
3165602,PTB,0.914,0.086,0.0,1.0,0.0,0.0
3165800,PATRIOTA,1.0,0.0,0.0,1.0,0.0,0.0
3166402,DEM,0.909,0.091,0.0,1.0,0.0,0.0
3166600,PP,1.0,0.0,0.0,1.0,0.0,0.0
3166956,PT,1.0,0.0,0.0,1.0,0.0,0.0
3167004,PP,1.0,0.0,0.0,0.957,0.0,0.043
3167202,PATRIOTA,1.0,0.0,0.0,0.905,0.076,0.019
3167509,PSDB,0.727,0.273,0.0,0.684,0.316,0.0
3167608,PL,0.994,0.0,0.006,0.969,0.0,0.031
3167707,REPUBLICANOS,1.0,0.0,0.0,0.952,0.0,0.048
