ID_MUNICIPIO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
4204905,1.0,0.0,0.0,1.0,0.0,0.0
4205308,0.98,0.02,0.0,0.966,0.022,0.012
4205407,0.989,0.006,0.005,0.961,0.023,0.016
4205506,0.998,0.002,0.0,0.997,0.003,0.0
4205803,0.949,0.051,0.0,0.739,0.242,0.019
4205902,1.0,0.0,0.0,0.998,0.002,0.0
4206009,0.893,0.107,0.0,0.983,0.012,0.005
4206207,1.0,0.0,0.0,1.0,0.0,0.0
4206306,0.988,0.012,0.0,0.909,0.083,0.008
4206405,1.0,0.0,0.0,0.987,0.013,0.0
4206504,0.998,0.002,0.0,0.96,0.04,0.0
4206603,0.936,0.064,0.0,0.909,0.073,0.018
4206702,0.947,0.053,0.0,0.944,0.056,0.0
4206900,0.968,0.032,0.0,0.981,0.019,0.0
4207007,0.993,0.007,0.0,0.995,0.005,0.0
4207106,0.989,0.011,0.0,0.994,0.006,0.0
4207205,0.898,0.102,0.0,0.983,0.0,0.017
4207304,0.973,0.027,0.0,0.966,0.034,0.0
4207502,0.965,0.035,0.0,0.96,0.038,0.002
4207577,1.0,0.0,0.0,0.917,0.083,0.0
4207601,0.985,0.015,0.0,0.98,0.02,0.0
4207650,0.959,0.041,0.0,0.979,0.021,0.0
4207684,1.0,0.0,0.0,1.0,0.0,0.0
4207700,0.946,0.054,0.0,0.935,0.032,0.033
4207809,0.895,0.105,0.0,0.943,0.038,0.019
4207908,0.992,0.008,0.0,0.979,0.021,0.0
4208005,0.917,0.083,0.0,1.0,0.0,0.0
4208104,0.942,0.058,0.0,0.971,0.029,0.0
4208203,0.978,0.019,0.003,0.988,0.007,0.005
4208302,0.973,0.023,0.004,0.986,0.01,0.004
4208401,1.0,0.0,0.0,0.951,0.024,0.025
4208450,0.969,0.031,0.0,0.955,0.045,0.0
4208500,0.99,0.01,0.0,1.0,0.0,0.0
4208708,1.0,0.0,0.0,0.963,0.037,0.0
4208807,0.883,0.117,0.0,0.934,0.066,0.0
4208906,0.996,0.004,0.0,0.994,0.006,0.0
4209003,0.874,0.126,0.0,0.934,0.066,0.0
4209102,0.993,0.007,0.0,0.993,0.006,0.001
4209151,0.988,0.012,0.0,0.977,0.023,0.0
4209300,0.979,0.018,0.003,0.967,0.022,0.011
4209409,0.919,0.07,0.011,1.0,0.0,0.0
4209607,0.948,0.052,0.0,1.0,0.0,0.0
4209706,0.983,0.017,0.0,0.938,0.062,0.0
4209805,1.0,0.0,0.0,1.0,0.0,0.0
4210001,0.99,0.01,0.0,1.0,0.0,0.0
4210035,1.0,0.0,0.0,0.983,0.017,0.0
4210050,1.0,0.0,0.0,1.0,0.0,0.0
4210100,0.989,0.011,0.0,0.982,0.018,0.0
4210308,0.981,0.019,0.0,1.0,0.0,0.0
4210407,0.949,0.051,0.0,0.963,0.037,0.0
4210506,0.971,0.029,0.0,0.968,0.032,0.0
4210605,1.0,0.0,0.0,0.99,0.01,0.0
4210803,0.965,0.035,0.0,0.98,0.02,0.0
4210852,1.0,0.0,0.0,1.0,0.0,0.0
4211009,0.947,0.053,0.0,0.986,0.014,0.0
